symbol_name,security_id,trading_symbol
BARODAPAMC - BPF02D4R,18010,BPF02D4R
BARODAPAMC - BPF02D5R,18062,BPF02D5R
BARODAPAMC BPF02IDR,18063,BPF02IDR
BARODAPAMC BPF02IGG,18064,BPF02IGG
BARODAPAMC BPF02IMD,18065,BPF02IMD
BARODAPAMC BPF02IMR,18066,BPF02IMR
BARODAPAMC BPF02IQD,18067,BPF02IQD
BARODAPAMC BPF02IQR,18093,BPF02IQR
BARODAPAMC BPF02IWR,18094,BPF02IWR
BARODAPAMC - BPF02RDR,18095,BPF02RDR
BARODAPAMC - BPF02RGG,18160,BPF02RGG
BARODAPAMC - BPF02RMD,18161,BPF02RMD
BARODAPAMC - BPF02RMR,18162,BPF02RMR
BARODAPAMC - BPF02RWR,18163,BPF02RWR
BARODAPAMC - BPF01D1D,18164,BPF01D1D
BARODAPAMC - BPF01D1R,18165,BPF01D1R
BARODAPAMC - BPF01D2G,18166,BPF01D2G
BARODAPAMC - BPF01D3D,18167,BPF01D3D
BARODAPAMC - BPF01D3R,18168,BPF01D3R
BARODAPAMC - BPF01GPG,18169,BPF01GPG
BARODAPAMC - BPF01MDD,18170,BPF01MDD
BARODAPAMC - BPF01MDR,18171,BPF01MDR
BARODAPAMC - BPF01QDD,18172,BPF01QDD
BARODAPAMC - BPF01QDR,18173,BPF01QDR
FRANTEMAMC - IF3DPD,18174,IF3DPD
FRANTEMAMC - IF3GPD,18175,IF3GPD
FRANTEMAMC - IFD3DPD,18176,IFD3DPD
FRANTEMAMC - IFD3GPD,18177,IFD3GPD
FRANTEMAMC - FICRF3DP,18178,FICRF3DP
FRANTEMAMC - FICRF3GP,18179,FICRF3GP
FRANTEMAMC - FICRFD3DPD,18180,FICRFD3DPD
FRANTEMAMC - FICRFD3GPD,18181,FICRFD3GPD
FRANTEMAMC - FISTIP3GP,18182,FISTIP3GP
FRANTEMAMC - FISTIP3MDP,18183,FISTIP3MDP
HDFCAMC - HFMPCC50DD,18185,HFMPCC50DD
HDFCAMC - HFMPCC50RD,18186,HFMPCC50RD
HDFCAMC - HFMPCC75DD,18191,HFMPCC75DD
HDFCAMC - HFMPCC75RD,18192,HFMPCC75RD
FRANTEMAMC - FISTIP3QDP,18196,FISTIP3QDP
FRANTEMAMC - FISTIP3WDP,18197,FISTIP3WDP
FRANTEMAMC - FISTIPD3GP,18198,FISTIPD3GP
FRANTEMAMC - FISTIPD3MD,18199,FISTIPD3MD
FRANTEMAMC - FISTIPD3QD,18200,FISTIPD3QD
FRANTEMAMC - FISTIPD3WD,18201,FISTIPD3WD
FRANTEMAMC - FISTIPIP3G,18388,FISTIPIP3G
NIINTR FUND-QIF SR I-GRW,210,NMFINQRAG1
ABSL IIF- QP - SI-IPDP,22844,BSLIQPIIDP
ABSL IIF- QP - SI-RPDP,22850,BSLIQPIRDP
ABSL IIF- QP - SI-RPG,22853,BSLIQPIRG
UTI-FIIF - AIP- I- IG,24049,UTFIAIPIGI
UTI-FIIF - AIP- I- RG,24055,UTFIAIPRGI
UTI-FIIF - AIP- I- RDP,24058,UTFIAIPRPI
UTI-FIIF  -AIP- I- RDR,24061,UTFIAIPRRI
ADITYABIRLA - BSLIFQPIDG,29556,BSLIFQPIDG
HDFCAMC - HDAIF1BDDR,29732,HDAIF1BDDR
NIMF IF -AIF S-I IDR,30215,NMFINAIDR1
UTIAMC - UTFDAIPIGI,30425,UTFDAIPIGI
UTIAMC - UTFDAIPIPI,30426,UTFDAIPIPI
SBIAMC - SFMP42DD,3157,SFMP42DD
SBIAMC - SFMP42DR,3160,SFMP42DR
SBIAMC - SFMP42GD,3163,SFMP42GD
SBIAMC - SFMP42GR,3166,SFMP42GR
SBIAMC - SFMP43DD,3354,SFMP43DD
SBIAMC - SFMP43DR,3355,SFMP43DR
SBIAMC - SFMP43GD,3358,SFMP43GD
SBIAMC - SFMP43GR,3361,SFMP43GR
BIRLASLAMC - ABSLFTTIDG,4962,ABSLFTTIDG
BIRLASLAMC - ABSLFTTIDN,4964,ABSLFTTIDN
BIRLASLAMC - ABSLFTTIRG,4969,ABSLFTTIRG
BIRLASLAMC - ABSLFTTIRN,4972,ABSLFTTIRN
BIRLASLAMC - ABSLFTTJDG,5104,ABSLFTTJDG
BIRLASLAMC - ABSLFTTJDN,5105,ABSLFTTJDN
BIRLASLAMC - ABSLFTTJRG,5106,ABSLFTTJRG
BIRLASLAMC - ABSLFTTJRN,5107,ABSLFTTJRN
SBIAMC - SFMP48DD,5319,SFMP48DD
SBIAMC - SFMP48DR,5324,SFMP48DR
SBIAMC - SFMP48GD,5325,SFMP48GD
SBIAMC - SFMP48GR,5329,SFMP48GR
SBIAMC - SFMP49DD,5497,SFMP49DD
SBIAMC - SFMP49DR,5498,SFMP49DR
SBIAMC - SFMP49GD,5499,SFMP49GD
SBIAMC - SFMP49GR,5500,SFMP49GR
SBIAMC - SFMP50DD,5592,SFMP50DD
SBIAMC - SFMP50DR,5593,SFMP50DR
SBIAMC - SFMP50GD,5595,SFMP50GD
SBIAMC - SFMP50GR,5602,SFMP50GR
HDFCAMC - H1861D46DD,8442,H1861D46DD
HDFCAMC - H1861D46DG,8445,H1861D46DG
HDFCAMC - H1861D46DQ,8446,H1861D46DQ
HDFCAMC - H1861D46RD,8450,H1861D46RD
HDFCAMC - H1861D46RG,8455,H1861D46RG
HDFCAMC - H1861D46RQ,8465,H1861D46RQ
SBIAMC - SFMP61DD,8645,SFMP61DD
SBIAMC - SFMP61DR,8647,SFMP61DR
SBIAMC - SFMP61GD,8648,SFMP61GD
SBIAMC - SFMP61GR,8651,SFMP61GR
BIRLASLAMC - ABSLFTTQDG,8676,ABSLFTTQDG
BIRLASLAMC - ABSLFTTQRG,8677,ABSLFTTQRG
BIRLASLAMC - ABSLFTTQRN,8678,ABSLFTTQRN
HDFCAMC - H187646RG,8761,H187646RG
HDFCAMC - H1876D46DD,8770,H1876D46DD
HDFCAMC - H1876D46DG,8773,H1876D46DG
HDFCAMC - H1876D46DQ,8774,H1876D46DQ
HDFCAMC - H1876D46RD,8776,H1876D46RD
HDFCAMC - H1876D46RQ,8777,H1876D46RQ
SBIAMC - SFMP1DD,9516,SFMP1DD
SBIAMC - SFMP1DR,9517,SFMP1DR
SBIAMC - SFMP1GR,9522,SFMP1GR
SBIAMC - SFMP1GD,9523,SFMP1GD
